aggregate_count,license,language_name
279,isc,TypeScript
20,artistic-2.0,TypeScript
78,isc,Swift
40,isc,Scala
51,artistic-2.0,Scala
34,artistic-2.0,Swift
1681,isc,C
477,artistic-2.0,C
210,artistic-2.0,C#
214,isc,C#
838,isc,Go
50,artistic-2.0,Go
893,isc,C++
402,artistic-2.0,C++
576,isc,PHP
302,artistic-2.0,PHP
571,artistic-2.0,Java
630,isc,Java
812,isc,Ruby
278,artistic-2.0,Ruby
918,artistic-2.0,Shell
3043,isc,Shell
2527,isc,Python
605,artistic-2.0,Python
8571,isc,JavaScript
1364,artistic-2.0,JavaScript
170,artistic-2.0,Objective-C
260,isc,Objective-C
31117,mit,Swift
27035,mit,TypeScript
9757,mit,Scala
83499,mit,C
69958,mit,C#
43187,mit,Go
81935,mit,C++
162346,mit,PHP
96274,mit,Java
270535,mit,Ruby
241283,mit,Shell
201001,mit,Python
680378,mit,JavaScript
87199,mit,Objective-C
223,cc0-1.0,Scala
124,cc0-1.0,TypeScript
160,cc0-1.0,Swift
1026,cc0-1.0,C
687,cc0-1.0,C#
238,cc0-1.0,Go
950,cc0-1.0,C++
970,cc0-1.0,PHP
1379,cc0-1.0,Java
1541,cc0-1.0,Ruby
3000,cc0-1.0,Shell
4018,cc0-1.0,Python
6181,cc0-1.0,JavaScript
393,cc0-1.0,Objective-C
47,epl-1.0,TypeScript
95,epl-1.0,Scala
46,epl-1.0,Swift
816,epl-1.0,C
211,epl-1.0,C#
131,epl-1.0,Go
586,epl-1.0,C++
246,epl-1.0,PHP
5371,epl-1.0,Java
536,epl-1.0,Ruby
3080,epl-1.0,Shell
1111,epl-1.0,Python
2817,epl-1.0,JavaScript
265,epl-1.0,Objective-C
887,gpl-2.0,Swift
4939,gpl-2.0,Scala
1057,gpl-2.0,TypeScript
75335,gpl-2.0,C
12395,gpl-2.0,C#
3722,gpl-2.0,Go
67395,gpl-2.0,C++
74223,gpl-2.0,PHP
33673,gpl-2.0,Java
21350,gpl-2.0,Ruby
105022,gpl-2.0,Shell
79159,gpl-2.0,Python
98013,gpl-2.0,JavaScript
34074,gpl-2.0,Objective-C
2051,gpl-3.0,TypeScript
1210,gpl-3.0,Swift
2288,gpl-3.0,Scala
50596,gpl-3.0,C
13668,gpl-3.0,C#
4438,gpl-3.0,Go
50973,gpl-3.0,C++
35709,gpl-3.0,PHP
